pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,18,66,40,1,1.2,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,19,67,38,1,0.2,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,20,68,30,1,1.2,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,i,1,1.534845,1,21,69,45,1,1.3,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,22,70,42,1,0.9,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,e,1,1.109765,1,23,71,0,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,24,72,19,1,1,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,25,73,12,1,0.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,26,74,25,1,0.5,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,27,75,23,1,0.8,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,i,1,1.145875,1,28,76,11,1,1.6,,,,,,,,,,
